,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
salesGeneralAndAdministrativeToRevenue,0.07254976959364698,0.07012614634821313,0.06289651537114781,0.06657389392498494,0.06582297265336975,0.06130971482360995,0.06560901556388304,0.06336668421976478,0.06415007539550693,0.0701992628107419,0.08458413185128402,0.11355612119221611,0.11579790018165584,0.12342747646421728,0.1259642764690655,0.13344339961237528,0.17163908684623747,0.19526341227646207,0.19348659003831417,0.2121946671639008,0.1460603783038958,0.16237365503749593,0.1528362228581047,0.1816127665583957,0.15946303264517442,0.1431025131079371,0.15063107618143406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
researchAndDdevelopementToRevenue,0.06830956414039306,0.06233136285716482,0.05360040663416103,0.05052042890670668,0.046582482760539605,0.034516398177267184,0.03304794988922016,0.02618337136504593,0.02160272957292918,0.022439006364954873,0.027320812571866616,0.036483564605742126,0.0341451399365744,0.032575189535949345,0.036862542065752006,0.038331778048955566,0.05906510448121754,0.07588206863218946,0.07784743991640543,0.08223009509602834,0.04760115244895403,0.051190088033909356,0.05217976771587275,0.12145177234853834,0.06142581104444218,0.055505333574398845,0.06141239263499228,0.08336467343612887,0.08494426414561874,0.09240767158028214,0.086002159050018,0.07948523845571537,0.06705969049373618,0.07215332581736189,0.06729758149316509,0.038060479666319084
intangiblesToTotalAssets,0.0,0.0,0.0,0.02135516720443143,0.02679631690530517,0.031028603902254214,0.037776215390853136,0.027806763285024155,0.030437795347146492,0.038085089927903,0.014404852160727824,0.011768173301614704,0.014126149802890934,0.013295459028681894,0.01028770706190061,0.011600727209765389,0.01515527950310559,0.01599413059427733,0.018894887265798667,0.01262248795881083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capexToOperatingCashFlow,-0.09059920172546297,-0.15124439768846104,-0.1719270604643955,-0.20118557187332936,-0.19226646132475728,-0.13839736175030148,-0.16028335538324986,-0.152144747139716,-0.16310759792354884,-0.11351221721868422,-0.10782468405485346,-0.11260950880992224,-0.11369320550229262,-0.1343692870201097,-0.2959459459459459,-0.10256410256410256,-0.18843683083511778,-0.5674740484429066,-1.9333333333333333,-1.2540540540540541,-0.12953995157384987,-0.05889724310776942,-0.07225806451612904,-2.324468085106383,-0.12909441233140656,0.6625,-0.21653742562703954,3.056338028169014,-4.723076923076923,-0.8669724770642202,-4.303571428571429,-2.1213389121338913,-2.0416666666666665,-2.186046511627907,-4.701492537313433,-4.907407407407407
capexToRevenue,-0.026625138881299748,-0.04033838892433525,-0.05012519060976298,-0.0558163274208887,-0.059052397757363,-0.04812271356138887,-0.05235920019694193,-0.04777368205488269,-0.05300048559818028,-0.039353712274478286,-0.030739747029513223,-0.031310726113255055,-0.03359093568151729,-0.030617345663584105,-0.03401501423763914,-0.01866341253319934,-0.02125860611184926,-0.026421781859191237,-0.030303030303030304,-0.04325936975573373,-0.013403482400100213,-0.007662210629279426,-0.0094260225551254,-0.06171444711198983,-0.006813790297976203,-0.014373531007051165,-0.01736765443997376,-37.45070422535211,-36.343589743589746,-28.940366972477065,-24.8125,-22.10878661087866,-28.270833333333332,-30.941860465116278,-28.388059701492537,-35.51851851851852
capexToDepreciation,-0.661089001447178,-0.8364549294652108,-1.2210400807117308,-1.259722358964261,-1.2121846739647786,-0.9991116638536022,-1.2045054115278127,-1.2083764984460559,-2.531278608483369,-2.348401323042999,-1.9522882181110028,-1.55858310626703,-2.306553911205074,-2.3186119873817033,-2.92,-1.452513966480447,-1.1733333333333333,-1.4513274336283186,-1.5263157894736843,-2.32,-1.2738095238095237,-0.5529411764705883,-0.5045045045045045,-3.7033898305084745,-0.42948717948717946,-1.2519685039370079,-0.9501601590873909,-0.7793427230046949,-1.1128205128205129,-0.9357798165137615,-0.90625,-0.5230125523012552,-0.5416666666666666,-0.8255813953488372,-0.7611940298507462,-0.7777777777777778
stockBasedCompensationToRevenue,0.024876600550061016,0.0233228531674956,0.020105800184491426,0.021113796382735545,0.01952337007684139,0.015343473889138481,0.01566235400311825,0.013182376689485695,0.011117642548623713,0.010789938013284187,0.013476427750095821,0.019432356241618085,0.015887188644970598,0.01008081313005082,0.008439037017861766,0.0030148589476706625,0.0039859886459717355,0.0025777348155308524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grahamNumber,16.74258602902124,18.158424594467483,19.112441265758534,18.298755977665166,16.592130552188063,16.45400597484695,12.936366910663192,12.384361877757428,12.728378252448914,8.168290325442667,4.820452053974857,2.548484423031074,1.9374858819101333,1.396589956893737,0.8943975789777731,0.6615620696059342,0.26980783792074275,0.1267871565344052,0.12309250139086808,0.07672311022587557,0.46889020131145964,0.4040719839192658,0.2285865497770448,0.37621647645091105,0.44355956430267435,0.3817323794617143,0.3066828024002746,0.1490610402597935,0.37221980220349776,0.2605903364311831,0.279061352605758,0.27033628212691524,0.20652300179083224,0.1370650665163905,0.1076285910158024,0.06266845264385998
roic,0.3033831282952548,0.2746157613037913,0.2848922482208801,0.22347133931986668,0.24733805834844239,0.3396190430781701,0.3117921979203164,0.29997796035312413,0.4016884571195881,0.3822354950735851,0.33758102128128387,0.21275177107931656,0.24627158555729983,0.2747382851445663,0.22852617849822993,0.2045370026031982,0.06499068901303538,0.005607895917451772,0.009698275862068966,-0.07639351543415501,0.1273100616016427,0.10686600221483943,0.09425785482123511,-0.32215320910973083,-0.35822671823861946,0.1692268305171531,0.11773885561782982,0.05257228689447991,0.3055754110078628,0.21958717610891523,0.39969214982042073,0.40237966468361275,0.5227091633466135,0.41041041041041043,0.3730445246690734,0.187207488299532
returnOnTangibleAssets,0.1772557180259843,0.16323009842961633,0.16277530931710985,0.131637553634047,0.14593408418672102,0.18978730059430715,0.1771105562553512,0.18404026952356345,0.2444743856360388,0.2315725529082804,0.18910931174089068,0.12151165267777257,0.12390741547689232,0.1397840863654538,0.11680761099365751,0.1169308925286853,0.03481331987891019,0.010289293170295259,0.010519501537465609,-0.004205214465937763,0.11553726297221814,0.11645030032939353,0.0720447656796456,-0.2468698322702575,-0.15212527964205816,0.06804686246188413,0.05849384450999539,0.01682459872365113,0.12547348484848486,0.08872352604464796,0.15961021505376344,0.16545189504373178,0.19212295869356388,0.14682002706359945,0.13275862068965516,0.06517094017094018
