,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,Percentage Own,Value,1d,1w,1m,6m,company
93,,2020-01-06 16:58:48,2020-01-02,AMZN,Nooyi Indra K,Dir,P - Purchase,"$1,875.00",100,368,+37%,"+$187,500",,,,,AMZN
94,,2019-12-30 17:48:51,2019-12-26,AMZN,Wilke Jeffrey A,CEO Worldwide Consumer,S - Sale,"$1,865.33",-200,55836,0%,"-$373,067",,,,,AMZN
95,,2019-11-22 18:24:51,2019-11-20,AMZN,Wilke Jeffrey A,CEO Worldwide Consumer,S - Sale,"$1,748.04",-1000,56036,-2%,"-$1,748,043",,,,,AMZN
96,D,2019-11-19 17:55:18,2019-11-15,AMZN,Wilke Jeffrey A,CEO Worldwide Consumer,S - Sale+OE,"$1,745.57",-3475,57036,-6%,"-$6,065,867",,,,,AMZN
97,D,2019-11-19 17:44:50,2019-11-15,AMZN,Jassy Andrew R,CEO Amazon Web Services,S - Sale+OE,"$1,752.18",-3230,102790,-3%,"-$5,659,554",,,,,AMZN
98,D,2019-11-19 17:34:13,2019-11-15,AMZN,Blackburn Jeffrey M,SVP,S - Sale+OE,"$1,752.23",-3573,67460,-5%,"-$6,260,717",,,,,AMZN
99,D,2019-11-19 17:26:00,2019-11-15,AMZN,Olsavsky Brian T,"SVP, CFO",S - Sale+OE,"$1,760.05",-1265,1569,-45%,"-$2,226,463",,,,,AMZN
100,D,2019-11-19 17:18:35,2019-11-15,AMZN,Zapolsky David,SVP,S - Sale+OE,"$1,750.64",-880,4245,-17%,"-$1,540,567",,,,,AMZN
101,D,2019-11-19 17:08:44,2019-11-15,AMZN,Reynolds Shelley,VP,S - Sale+OE,"$1,750.66",-379,6122,-6%,"-$663,499",,,,,AMZN
102,,2019-10-30 16:14:00,2019-10-28,AMZN,McGrath Judith A,Dir,S - Sale,"$1,749.91",-304,2324,-12%,"-$531,973",,,,,AMZN
103,,2019-10-08 18:51:37,2019-10-04,AMZN,Nooyi Indra K,Dir,P - Purchase,"$1,726.06",100,268,+60%,"+$172,606",,,,,AMZN
104,,2019-09-16 17:45:21,2019-09-12,AMZN,Wilke Jeffrey A,CEO Worldwide Consumer,S - Sale,"$1,847.51",-2800,52437,-5%,"-$5,173,031",,,,,AMZN
105,,2019-09-05 17:26:47,2019-09-03,AMZN,Wilke Jeffrey A,CEO Worldwide Consumer,S - Sale,"$1,792.10",-2500,55237,-4%,"-$4,480,255",,,,,AMZN
106,,2019-09-03 18:37:33,2019-08-29,AMZN,Blackburn Jeffrey M,SVP,S - Sale,"$1,791.40",-7144,67459,-10%,"-$12,797,740",,,,,AMZN
107,,2019-08-28 16:45:17,2019-08-26,AMZN,Wilke Jeffrey A,CEO Worldwide Consumer,S - Sale,"$1,759.03",-2500,57737,-4%,"-$4,397,582",,,,,AMZN
108,,2019-08-22 18:34:07,2019-08-20,AMZN,Wilke Jeffrey A,CEO Worldwide Consumer,S - Sale,"$1,809.20",-1000,60237,-2%,"-$1,809,204",,,,,AMZN
109,D,2019-08-19 19:54:40,2019-08-15,AMZN,Wilke Jeffrey A,CEO Worldwide Consumer,S - Sale+OE,"$1,773.99",-3475,61237,-5%,"-$6,164,625",,,,,AMZN
110,D,2019-08-19 19:40:09,2019-08-15,AMZN,Jassy Andrew R,CEO Amazon Web Services,S - Sale+OE,"$1,775.34",-3230,97947,-3%,"-$5,734,363",,,,,AMZN
111,D,2019-08-19 19:22:56,2019-08-15,AMZN,Olsavsky Brian T,"SVP, CFO",S - Sale+OE,"$1,783.00",-1765,1069,-62%,"-$3,146,995",,,,,AMZN
112,D,2019-08-19 18:27:41,2019-08-15,AMZN,Zapolsky David,SVP,S - Sale+OE,"$1,776.73",-880,3582,-20%,"-$1,563,527",,,,,AMZN
113,D,2019-08-19 18:14:12,2019-08-15,AMZN,Reynolds Shelley,VP,S - Sale+OE,"$1,775.43",-379,6122,-6%,"-$672,889",,,,,AMZN
114,,2019-08-05 17:40:39,2019-08-02,AMZN,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,"$1,826.22",-171354,57610359,0%,"-$312,930,261",,,,,AMZN
115,M,2019-08-05 17:34:03,2019-08-01,AMZN,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,"$1,878.39",-360498,57781713,-1%,"-$677,155,592",,,,,AMZN
116,,2019-07-31 21:05:42,2019-07-31,AMZN,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,"$1,892.95",-208967,58142479,0%,"-$395,563,985",,,,,AMZN
117,M,2019-07-31 21:02:26,2019-07-29,AMZN,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,"$1,896.28",-454503,58351446,-1%,"-$861,864,290",,,,,AMZN
118,,2019-07-31 20:57:48,2019-07-29,AMZN,Bezos Jeffrey P,"COB, CEO, Pres, 10%",S - Sale,"$1,903.50",-304678,58805949,-1%,"-$579,955,868",,,,,AMZN
119,,2019-07-12 18:58:24,2019-07-10,AMZN,Jassy Andrew R,CEO Amazon Web Services,S - Sale,"$2,000.00",-7308,93104,-7%,"-$14,616,000",,,,,AMZN
120,,2019-07-12 18:51:56,2019-07-10,AMZN,Zapolsky David,SVP,S - Sale,"$2,000.00",-763,2698,-22%,"-$1,526,000",,,,,AMZN
